id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1	australia	0.4229	0.0029	3	0	0	7	2011.8571
2	bangladesh	0.7486	0.4167	4	0	0	7	2017
3	china	0.1666	0.4865	5	0	0	24	2015.625
4	egypt	-0.4226	-0.7824	6	0	0	14	2013.7857
5	europe	-0.0195	-0.8741	7	0	0	7	2010.8571
6	genoa	-0.6458	-0.0102	1	2	5	5	2014.8
7	india	-0.0188	0.8753	8	0	0	15	2014.6667
8	italy	-0.6339	0.0039	2	4	11	21	2014.2381
9	liguria	-0.6342	-0.01	1	3	8	8	2016
10	mediterranean region	-0.6212	-0.006	9	2	3	7	2015.8571
11	pakistan	0.8728	-0.0024	10	0	0	6	2015.5
12	saudi arabia	0.4617	-0.7554	11	0	0	14	2015.9286
13	southern france	0.1691	-0.4819	12	0	0	7	2013.4286
14	southern italy	-0.6346	0.0213	2	1	1	7	2012.4286
15	taiwan	-0.423	0.7822	13	0	0	5	2016.2
16	texas	0.7466	-0.4194	14	0	0	5	2014.6
17	usa	0.4652	0.7531	15	0	0	5	2016.2
