id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1	analysis	-0.2958	0.2444	3	23	121	83	2013.8193
2	application	-0.3466	0.7613	1	14	28	24	2013.2083
3	assessment	0.0183	-0.5183	4	24	149	97	2014.2577
4	case	-0.9421	0.0829	3	18	52	30	2014.1667
5	case study	0.6385	-0.1534	4	22	119	64	2015.1406
6	china	0.7491	0.5974	1	10	28	24	2015.625
7	city	0.153	-0.0656	2	19	51	34	2015.5294
8	climate change	0.4843	-0.3088	2	17	39	29	2014.7931
9	development	-0.0142	0.2999	1	19	41	29	2014.7241
10	flash flood	0.1453	0.4471	1	23	191	153	2014.1176
11	flash flooding	-0.4155	-0.6782	1	15	28	22	2013.1818
12	flood	-0.126	-0.1252	2	24	185	135	2014.3778
13	flood risk	-0.5963	-0.1539	3	17	45	37	2013.8108
14	flooding	-0.6366	-0.3304	3	20	61	32	2014
15	france	-0.9043	0.347	1	16	43	21	2014.2381
16	gis	1.1452	-0.3519	4	12	27	16	2012.3125
17	greece	-1.1781	-0.4048	3	12	30	17	2015.7647
18	impact	0.8189	0.2033	2	21	71	50	2013.84
19	italy	-0.0351	0.8212	2	17	43	27	2013.7037
20	landslide	0.2988	0.931	2	13	30	19	2013.9474
21	paper	-0.4813	0.1119	1	21	78	56	2013.0714
22	risk	0.1585	-0.3817	1	21	62	44	2014.0227
23	romania	0.8033	-0.7181	4	14	32	17	2014.8824
24	study	0.5665	0.1455	4	22	92	64	2014.2812
25	vulnerability	-0.0078	-0.8026	2	20	84	49	2014.6531
