"","x"
"Climate change hazards and migration along the ky anh coast","10.1007/978-3-319-94917-8\_3"
"Coupling machine-learning techniques with swat model for instantaneous peak flow prediction","10.1016/J.BIOSYSTEMSENG.2018.04.022"
"The trophic ecology of a desert river fish assemblage: influence of season and hydrologic variability","10.1002/ECS2.2583"
"Geospatial hazard modeling for the delineation of flash flood-prone zones in wadi dahab basin, egypt","10.2166/HYDRO.2018.043"
"Enhancing flash flood risk perception and awareness of mitigation actions through risk communication: a pre-post survey design","10.1016/J.JHYDROL.2018.11.007"
"Flash flood susceptibility modeling using geo-morphometric and hydrological approaches in panjkora basin, eastern hindu kush, pakistan","10.1007/S12665-018-8041-Y"
"Flood events in transylvania during the medieval warm period and the little ice age","10.1177/0959683618804632"
"Toward probabilistic prediction of flash flood human impacts","10.1111/RISA.12921"
"New methodology to develop high-resolution rainfall data using weather radar for watershed-scale water quality model","10.5004/DWT.2019.23344"
"Root growth dynamics and yield responses of rice (oryza sativa l.) Under drought-flood abrupt alternating conditions","10.1016/J.ENVEXPBOT.2018.09.018"
"Numerical simulation of floods from multiple sources using an adaptive anisotropic unstructured mesh method","10.1016/J.ADVWATRES.2018.11.011"
"Sinkholes as a source of life in the dead sea region","10.1007/S00027-018-0611-2"
"Analysis of atmospheric thermodynamics using the r package airthermo","10.1016/J.CAGEO.2018.10.007"
"Influence of atmospheric rivers in the occurrence of devastating flood associated with extreme precipitation events over chennai using different reanalysis data sets","10.1016/J.ATMOSRES.2018.08.016"
"Rainwater harvesting and artificial groundwater recharge in arid areas: case study in wadi al-alb, saudi arabia","10.1061/(ASCE)WR.1943-5452.0001009"
"The extreme floods in the ebro river basin since 1600 ce","10.1016/J.SCITOTENV.2018.07.325"
"Mapping the capacity of concave green land in mitigating urban pluvial floods and its beneficiaries","10.1016/J.SCS.2018.11.003"
"Dynamics of metals bound to suspended sediments in floods and on channel banks of the ephemeral wadi sekher, northern negev desert, israel","10.1016/J.CATENA.2018.08.018"
"Wsud ``best in class-case studies from australia, new zealand, united states, europe, and asia","10.1016/B978-0-12-812843-5.00027-7"
"Low-cost solution for assessment of urban flash flood impacts using sentinel-2 satellite images and fuzzy analytic hierarchy process: a case study of ras ghareb city, egypt","10.1155/2019/2561215"
"Climate change adaptation and mitigation strategy through submergence tolerance in rice","10.1088/1755-1315/250/1/012030"
"A morris-sobol two-layer progressive model for sensitivity analysis of parameters in rainfall threshold calculation of flash flood","10.20937/RICA.2019.35.ESP01.13"
"Long-term consequences of flooding: a case study of the 2011 queensland floods",NA
"Lessons learned from event detection from arabic tweets: the case of jordan flash floods near dead sea",NA
"Unanticipated uses of the global positioning system","10.1146/ANNUREV-EARTH-053018-060203"
"Synchronous lora mesh network to monitor processes in underground infrastructure","10.1109/ACCESS.2019.2913985"
"Green technology and sustainable urban drainage systems using eco-composite porous concrete: a preliminary study","10.1088/1755-1315/220/1/012039"
"Effect of extreme rain and land covering change in jatihandap on 20 march 2018 flash flood","10.1051/MATECCONF/201927004003"
"A new prediction method for flashing parameters in heavy oil production by steam flooding","10.1007/S10553-019-00987-W"
"Landslide susceptibility mapping, vulnerability and risk assessment for development of early warning systems in india","10.1007/978-3-319-77377-3\_8"
"Joint calibration of a hydrological model and rating curve parameters for simulation of flash flood in urban areas","10.1590/2318-0331.241920180066"
"Understanding the effects of changing weather: a case of flash flood in morogoro on january 11, 2018","10.1155/2019/8505903"
"Exploring the status of community information and training for disaster preparation and mitigation practices: an appraisal of 2013 flash flood in uttarakhand","10.1504/IJEM.2019.099373"
"Flash flood risk assessment in urban arid environment: case study of taibah and islamic universities' campuses, medina, kingdom of saudi arabia","10.1080/19475705.2018.1545705"
"Application of the topog model on a flash-flood-prone hill catchment in romania",NA
"Holistic approach for a multifunctional heavy rain risk information tool","10.1007/S35147-019-0024-8"
"Applying the dynamic critical precipitation method for flash flood early warning","10.15244/PJOES/83731"
