Titles,DOIs
Reforesting severely degraded grassland in the lesser himalaya of nepal: effects on soil hydraulic conductivity and overland flow production,10.1002/2013JF002888
Lightning potential index performances in multimicrophysical cloud-resolving simulations of a back-building mesoscale convective system: the genoa 2014 event,10.1002/2016JD026115
Valuing environmental services provided by local stormwater management,10.1002/2016WR019776
Risk assessment and protection of the built infrastructure for flood eventshochwassergefahr,10.1002/BATE.201600003
The flash flood of braunsbach - engineering analysis of the building damage,10.1002/BATE.201600087
Flood hazards at ford stream crossings on ephemeral channels (south-east coast of spain),10.1002/HYP.11082
Meta-analysis of field-saturated hydraulic conductivity recovery following wildland fire: applications for hydrologic model parameterization and resilience assessment,10.1002/HYP.11288
Comprehensive post-event survey of a flash flood in western slovenia: observation strategy and lessons learned,10.1002/HYP.7542
Development of a thresholds approach for real-time flash flood prediction in complex geomorphological river basins,10.1002/HYP.8272
Impact of headwater hydrological deficit on the downstream flood-based farming system in northern ethiopia,10.1002/IRD.2413
"Measures and solutions for flood management. A local case: flash flood 2001 in gdansk, poland",10.1002/IRD.252
Flood management and flood warning system in china,10.1002/IRD.513
Soil degradation and altered flood risk as a consequence of deforestation,10.1002/LDR.1147
Floodwater use and management strategies in valleys of southeast spain,10.1002/LDR.489
Catchment dynamics and social response during flash floods: the potential of radar rainfall monitoring for warning procedures,10.1002/MET.128
Numerical modelling of heavy rainfall event over madeira island in portugal: sensitivity to different micro physical processes,10.1002/MET.1375
"Dynamics of tropical-extratropical interactions and extreme precipitation events in saudi arabia in autumn, winter and spring",10.1002/QJ.2781
"Predictability of meso-gamma-scale, localized, extreme heavy rainfall during the warm season in japan using high-resolution precipitation nowcasts",10.1002/QJ.3013
Pluvial flood risk and opportunities for resilience,10.1002/WAT2.1302
Forensic analysis of flash flood response,10.1002/WAT2.1338
Improvements in nowcasting capability: analysis of three structurally distinct severe thunderstorms across northern england on 1 july 2015,10.1002/WEA.2837
Large wood recruitment and transport during a severe flash flood in north-western italy,10.1007/978-3-319-09054-2\_32
"Geohazards in the east siang district of arunachal pradesh, india: need for geoethical approach for integrated flood mitigation strategies",10.1007/978-3-319-09303-1\_27
A missed window of opportunity,10.1007/978-3-319-09303-1\_36
Using documentary data to reconstruct social responses and local-based adaptation strategies to landslide and flood hazards in n czechia,10.1007/978-3-319-09408-3\_77
Flash floods modelling for wadi system: challenges and trends,10.1007/978-3-319-18787-7\_16
"Flash flood risk and vulnerability analysis in urban areas: the case of october 22, 2015, in attica, greece",10.1007/978-3-319-35095-0\_31
"Flood risk assessment from flash floods in bodva river basin, slovakia",10.1007/978-3-319-39639-2\_51
Nature-based solutions and buildings - the power of surfaces to help cities adapt to climate change and to deliver biodiversity,10.1007/978-3-319-56091-5\_10
La nina event 2010-2011: hydroclimatic effects and socioeconomic impacts in colombia,10.1007/978-3-319-56469-2\_15
"Building community resilience to flash floods: lessons learnt from a case study in the valles urban area, slp, mexico",10.1007/978-3-319-56469-2\_18
"Geological conservation through risk mitigation and public awareness at the siq of petra, jordan",10.1007/978-3-319-59469-9\_45
"Landslide susceptibility mapping, vulnerability and risk assessment for development of early warning systems in india",10.1007/978-3-319-77377-3\_8
"Climate change-associated hazards, impacts, and vulnerability at regional level",10.1007/978-3-319-94917-8\_2
Forecasting pollution transport in drainage water,10.1007/978-3-319-99867-1\_121
Flash floods in urban areas: case studies in reggio calabria (italy),10.1007/978-3-319-99867-1\_75
Flood risk and reduction approaches in pakistan,10.1007/978-4-431-55369-4\_4
"Flood disasters and land use planning in swat valley, eastern hindu kush",10.1007/978-4-431-56442-3\_10
"The rapid development of settlements in flood-prone areas in peri-urban ulaanbaatar, mongolia: monitoring and spatial analysis using vhr satellite imageries",10.1007/978-4-431-56442-3\_8
Human factors in the floods of romania,10.1007/978-90-481-2344-5\_20
Floods and their risk assessment in east siberia,10.1007/978-90-481-2344-5\_27
Agriculture: deforestation,10.1007/978-90-481-3058-0\_8
"Water pollution and riverbank filtration for water supply along river nile, egypt",10.1007/978-94-007-0026-0\_2
"Uttarakhand calamity: a climate revelation in the bhagirathi river valley uttarakhand, india",10.1007/978-981-10-3310-0\_10
Landslides and erosion control measures by vetiver system,10.1007/978-981-10-3310-0\_19
"Lessons learned from 16/17 june 2013 disaster of uttarakhand, india",10.1007/978-981-10-3310-0\_9
Smartphone with solar charging mechanism to issue alert during rainfall disaster,10.1007/978-981-10-8527-7\_37
An example of the effects of anthropogenic changes on natural environment in the apulian karst (southern italy),10.1007/S00254-008-1604-6
Flash flood occurrences since the 17th century in steep drainage basins in southern italy,10.1007/S00267-012-9935-1
"Evaluation of golestan province's early warning system for flash floods, iran, 2006-7",10.1007/S00484-009-0210-Y
Nowcasting of a supercell storm with vera,10.1007/S00703-008-0002-7
Assessing climatic trends of extreme rainfall indices over northeast bangladesh,10.1007/S00704-017-2285-4
"Monitoring trends in the extent of major floods in the lower reach of songkhram river basin, northeastern thailand",10.1007/S10201-011-0352-6
"The rwenzori mountains, a landslide-prone region?",10.1007/S10346-015-0582-5
"Identifying hydrological pre-conditions and rainfall triggers of slope failures at catchment scale for 2014 storm events in the ialomita subcarpathians, romania",10.1007/S10346-016-0740-4
Bayesian lifetime analysis for landslide dams,10.1007/S10346-020-01388-5
A new prediction method for flashing parameters in heavy oil production by steam flooding,10.1007/S10553-019-00987-W
"Urbanization, climate change and flood policy in the united states",10.1007/S10584.009.9789.6
"Disaster management for nandira watershed district angul (orissa) india, using temporal remote sensing data and gis",10.1007/S10661-005-1678-5
"Risk to residents, infrastructure, and water bodies from flash floods and sediment transport",10.1007/S10661-019-7216-7
"Climate change vulnerability of rural households in flood-prone areas of himalayan foothills, west bengal, india",10.1007/S10668-020-00687-0
Application of a model to the evaluation of flood damage,10.1007/S10707-008-0070-3
Vulnerability reduction and adaptation to climate change through watershed management in st. Vincent and the grenadines,10.1007/S10708-018-9914-Z
