id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	score<Avg. pub. year>
253	"bodoque, j m"	0.3953	0.5453	3	3	14	7	2013.1429
266	"borga, m"	0.0631	0.499	5	2	4	5	2010.6
267	"borga, marco"	-0.1727	-0.4961	1	4	8	8	2012.625
472	"creutin, jean-dominique"	-0.2576	-0.655	1	3	9	5	2014.8
566	"diakakis, michalis"	-0.968	-0.0832	6	0	0	5	2015
574	"diez-herrero, a"	0.3635	0.6841	3	3	14	10	2014.1
592	"douvinet, johnny"	0.5478	-0.2299	2	1	1	6	2014
654	"falconer, roger a"	-0.7846	0.5054	4	1	5	8	2014.5
723	"fuchs, sven"	0.7751	-0.1723	2	3	11	7	2016.5714
768	"gaume, e"	0.0464	0.5769	5	2	4	6	2010.8333
820	"gourley, jonathan j"	-0.0194	-0.7923	1	2	3	5	2014.8
1058	"karagiorgos, konstantinos"	0.8627	-0.2522	2	3	11	5	2016.2
1163	"kvocka, davor"	-0.8245	0.4384	4	1	5	5	2016.2
1177	"lang, m and klijn, f and samuels, p"	0.6259	-0.2355	2	4	4	13	2016
1293	"lutoff, celine"	-0.0873	-0.627	1	4	14	7	2013.2857
1475	"morss, rebecca e"	-0.4102	0.1084	7	0	0	5	2014
1818	"romanescu, gheorghe"	-0.4137	0.984	8	0	0	5	2015
1840	"ruin, isabelle"	-0.1449	-0.7341	1	4	15	9	2013.7778
1843	"ruiz-villanueva, v"	0.2359	0.581	3	5	11	5	2013.6
2040	"stoffel, m"	0.4939	0.6404	3	3	7	7	2013.7143
2041	"stoffel, markus"	-0.1869	-0.3949	1	1	1	7	2015.8571
2093	"thaler, thomas"	0.7646	-0.319	2	3	11	5	2016.2
2371	"zelenakova, martina"	-0.9043	-0.5716	9	0	0	6	2015.5
