1	2	3
1	3	8
1	4	5
1	5	5
1	7	3
1	8	3
1	9	3
1	10	21
1	11	2
1	12	14
1	13	5
1	14	3
1	15	4
1	16	3
1	17	4
1	18	3
1	19	5
1	20	3
1	21	5
1	22	4
1	23	1
1	24	10
1	25	4
2	3	2
2	4	1
2	5	1
2	6	1
2	9	2
2	10	6
2	12	2
2	13	1
2	15	2
2	19	2
2	21	3
2	23	1
2	24	1
3	4	5
3	5	11
3	6	2
3	7	4
3	8	2
3	9	2
3	10	18
3	11	4
3	12	19
3	13	3
3	14	6
3	15	2
3	16	4
3	17	4
3	18	3
3	19	3
3	20	1
3	21	8
3	22	9
3	23	5
3	24	11
3	25	13
4	7	2
4	8	1
4	9	1
4	10	6
4	11	1
4	12	8
4	13	4
4	14	2
4	15	2
4	17	5
4	19	2
4	20	2
4	21	2
4	24	2
4	25	1
5	6	4
5	7	4
5	8	4
5	10	15
5	11	1
5	12	17
5	13	2
5	14	4
5	15	2
5	16	5
5	17	3
5	18	6
5	19	4
5	20	3
5	21	4
5	22	4
5	23	7
5	24	8
5	25	5
6	9	3
6	10	6
6	12	2
6	14	1
6	18	3
6	22	3
6	24	3
7	8	1
7	9	1
7	10	11
7	11	1
7	12	6
7	14	2
7	15	1
7	16	2
7	17	1
7	18	1
7	19	3
7	20	1
7	22	2
7	24	1
7	25	4
8	9	1
8	11	1
8	12	4
8	13	2
8	18	7
8	19	1
8	20	1
8	21	2
8	22	2
8	23	1
8	24	2
8	25	4
9	10	4
9	11	2
9	12	4
9	13	2
9	14	3
9	16	1
9	18	1
9	19	2
9	21	5
9	22	1
9	24	2
9	25	1
10	11	4
10	12	18
10	13	3
10	14	5
10	15	8
10	16	3
10	17	1
10	18	15
10	19	4
10	20	7
10	21	11
10	22	5
10	23	2
10	24	12
10	25	6
11	12	2
11	14	2
11	15	1
11	18	1
11	21	1
11	22	2
11	25	3
12	13	2
12	14	6
12	15	9
12	16	2
12	17	4
12	18	10
12	19	5
12	20	3
12	21	11
12	22	6
12	23	5
12	24	10
12	25	16
13	14	4
13	15	1
13	17	2
13	18	2
13	21	3
13	22	3
13	23	1
13	24	5
14	15	2
14	17	3
14	18	1
14	19	1
14	20	1
14	21	3
14	22	4
14	24	3
14	25	5
15	18	1
15	21	3
15	22	3
15	24	1
15	25	1
16	18	1
16	21	1
16	22	1
16	23	1
16	24	3
17	21	1
17	22	1
17	25	1
18	19	1
18	20	3
18	21	1
18	22	2
18	23	1
18	24	5
18	25	3
19	20	3
19	21	3
19	22	1
19	24	2
19	25	1
20	24	1
20	25	1
21	22	3
21	23	1
21	24	1
21	25	6
22	23	3
22	24	2
22	25	1
23	24	1
23	25	2
24	25	6
