id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1	case	0.569	-0.6212	3	13	24	30	2014.1667
2	cause	-0.2181	-0.9104	1	4	4	14	2013.9286
3	change	0.1878	0.6341	2	14	25	21	2014.619
4	china	-0.1996	0.9087	2	8	13	24	2015.625
5	climate	0.5222	0.8284	2	12	20	16	2015.8125
6	climate change	0.1882	0.502	2	14	28	29	2014.7931
7	disaster	-0.3633	0.6296	4	15	24	39	2015.4872
8	egypt	-0.4934	-0.5459	1	6	8	14	2013.7857
9	flash flood event	0.6708	-0.1125	3	16	21	15	2014.4667
10	flood risk assessment	-0.2851	0.1384	4	11	15	20	2013.7
11	flood risk management	-0.7716	-0.3702	1	5	5	14	2013.2143
12	framework	-0.2103	-0.0452	4	10	13	21	2014
13	frequency	-0.0539	0.2484	2	7	9	13	2015
14	gis	-0.4989	-0.6011	1	8	10	16	2012.3125
15	greece	0.1712	-0.9026	3	6	12	17	2015.7647
16	impact	-0.0296	0.4065	2	19	37	50	2013.84
17	increase	-0.378	0.4347	2	14	21	15	2014.4
18	india	-0.0831	0.975	4	8	13	15	2014.6667
19	italy	0.836	-0.1697	3	13	24	27	2013.7037
20	landslide	1.2758	-0.127	3	9	17	19	2013.9474
21	november	1.4179	-0.3072	3	5	12	12	2013.4167
22	occurrence	-0.0877	0.6525	4	13	18	20	2012.5
23	review	-0.5711	-0.2648	1	5	7	14	2015.5
24	risk assessment	-0.0273	-0.3432	1	14	19	18	2012.6111
25	romania	-0.7726	-0.0231	1	9	9	17	2014.8824
26	spain	-0.579	-0.205	1	7	7	18	2014.7222
27	urban area	-0.1928	-0.5337	1	11	13	19	2014.9474
28	use	0.3609	0.5339	4	13	23	24	2014.0417
29	work	0.3362	-0.7424	3	7	12	14	2014.1429
30	year	-0.7208	-0.0671	1	10	13	21	2012.8095
